contest_id,q_rating,contest_type,question_no,accuracy,avg_solving_time,sub_ratio,tried_but_cannot_solved,total_participant,total_correct_sub_for_each_q,total_sub_for_each_q,total_time_to_sove_q
1200,1400,2,3,0.7018500948766604,1632.5079418722542,0.4280341385794879,1257,6913,2959,4216,4830591
1200,1900,2,4,0.6464968152866242,2918.35960591133,0.11745985823810212,444,6913,812,1256,2369708
1200,2000,2,5,0.36860068259385664,2435.365740740741,0.06249095906263561,740,6913,432,1172,1052078
1200,2300,2,6,0.7096774193548387,2541.0,0.006364819904527702,18,6913,44,62,111804
1202,1100,2,1,0.9133730373578777,1817.9318316538233,0.8023781212841855,320,4205,3374,3694,6133702
1202,1700,2,2,0.7635726795096323,2643.0252293577983,0.3110582639714625,405,4205,1308,1713,3457077
1202,2100,2,3,0.35818005808325265,2368.9756756756756,0.08799048751486326,663,4205,370,1033,876521
1202,1900,2,4,0.4618760285244103,2339.62351543943,0.20023781212841854,981,4205,842,1823,1969963
1202,2400,2,5,0.4825174825174825,2310.144927536232,0.016409036860879904,74,4205,69,143,159400
1202,2700,2,6,0.09375,2441.5,0.001426872770511296,58,4205,6,64,14649
1201,900,2,1,0.9482447342026078,1170.3573090755235,0.8426024955436721,258,5610,4727,4985,5532279
1201,1500,2,2,0.4755902360944378,1408.9932688262516,0.42370766488413547,2621,5610,2377,4998,3349177
1201,1400,2,3,0.6405505558496559,2212.9429752066117,0.43137254901960786,1358,5610,2420,3778,5355322
1201,2100,2,4,0.4141732283464567,3791.969581749049,0.04688057040998218,372,5610,263,635,997288
1201,2900,2,5,0.0,0.0,0.0,40,5610,0,40,0
1201,3000,2,6,0.0,0.0,0.0,7,5610,0,7,0
1198,1600,1,1,0.8012232415902141,1216.293893129771,0.7915407854984894,130,662,524,654,637338
1198,1600,1,2,0.9645608628659477,1368.9073482428114,0.945619335347432,23,662,626,649,856936
1198,2000,1,3,0.8053830227743272,1712.0591259640103,0.5876132930513596,94,662,389,483,665991
1198,2300,1,4,0.7549019607843137,2033.2337662337663,0.34894259818731116,75,662,231,306,469677
1198,2500,1,5,0.8702290076335878,1950.8070175438597,0.17220543806646527,17,662,114,131,222392
1198,2900,1,6,0.3508771929824561,2596.65,0.030211480362537766,37,662,20,57,51933
1199,1000,2,1,0.8427727588603197,1245.9367140795712,0.7685361216730038,905,6312,4851,5756,6044039
1199,1000,2,2,0.9559383499546691,1385.7022003034901,0.835234474017744,243,6312,5272,5515,7305422
1199,1600,2,3,0.3696656700190269,2585.041176470588,0.21546261089987326,2319,6312,1360,3679,3515656
1199,1600,2,4,0.6399253731343284,2719.652332361516,0.2173637515842839,772,6312,1372,2144,3731363
1199,2000,2,5,0.5983606557377049,2355.1369863013697,0.011565272496831432,49,6312,73,122,171925
1199,2300,2,6,0.24369747899159663,2448.4827586206898,0.004594423320659062,90,6312,29,119,71006
1193,-1,4,1,1.0,5670.358744394619,0.87109375,0,256,223,223,1264490
1193,-1,4,2,1.0,7740.055865921788,0.69921875,0,256,179,179,1385470
1193,-1,4,3,1.0,4997.857142857143,0.13671875,0,256,35,35,174925
1192,-1,4,1,1.0,5053.342756183745,0.6738095238095239,0,420,283,283,1430096
1192,-1,4,2,1.0,7044.0,0.55,0,420,231,231,1627164
1192,-1,4,3,1.0,6278.10303030303,0.39285714285714285,0,420,165,165,1035887
1196,800,3,1,0.9816487859966121,1020.8859649122807,0.9480572597137015,130,7335,6954,7084,7099241
1196,1200,3,2,0.6867380864425563,2054.864712210866,0.5068847989093388,1696,7335,3718,5414,7639987
1196,1500,3,3,0.7964497041420119,2071.955423476969,0.2752556237218814,516,7335,2019,2535,4183278
1196,1500,3,4,0.8139075464243382,1856.276213592233,0.28084526244035446,471,7335,2060,2531,3823929
1196,1600,3,5,0.679161372299873,1142.353601496726,0.14573960463531016,505,7335,1069,1574,1221176
1196,1800,3,6,0.69,2096.6195652173915,0.0376278118609407,124,7335,276,400,578667
1196,2200,3,7,0.22857142857142856,2268.75,0.0021813224267212,54,7335,16,70,36300
1197,900,2,1,0.9053196681307956,1077.3730458221023,0.8693954069676613,582,6401,5565,6147,5995581
1197,1000,2,2,0.9298277099784638,1226.5626326963907,0.8094047805030464,391,6401,5181,5572,6354821
